user_id,target_role,skill_name,user_score,required_score,gap_percentage,importance_weight,months_to_master,learning_intensity
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,Soil Health,55,90,35,2,2.3,LOW
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,Crop Science,83,67,-16,5,0.0,ACHIEVED
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,Irrigation Systems,7,84,77,3,7.7,HIGH
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,Pest Control,17,80,63,3,6.3,HIGH
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,Data Analysis,15,82,67,2,4.5,MEDIUM
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,Precision Agriculture,3,85,82,3,8.2,HIGH
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,IoT Sensors,53,66,13,2,1.0,LOW
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,Farm Management,78,74,-4,1,0.0,ACHIEVED
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,Python,11,63,52,2,3.5,MEDIUM
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,Machine Learning,63,65,2,1,1.0,LOW
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,SQL,33,83,50,2,3.3,MEDIUM
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,React,75,77,2,3,1.0,LOW
d68d076a-2f41-4248-9eb0-880a25fc172d,Data Scientist,FastAPI,83,71,-12,5,0.0,ACHIEVED
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,Soil Health,0,80,80,2,5.3,MEDIUM
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,Crop Science,15,84,69,4,9.2,HIGH
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,Irrigation Systems,89,78,-11,4,0.0,ACHIEVED
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,Pest Control,89,75,-14,4,0.0,ACHIEVED
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,Data Analysis,62,69,7,5,1.2,LOW
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,Precision Agriculture,36,68,32,5,5.3,MEDIUM
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,IoT Sensors,58,87,29,2,1.9,LOW
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,Farm Management,86,87,1,4,1.0,LOW
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,Python,22,83,61,3,6.1,HIGH
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,Machine Learning,25,71,46,5,7.7,HIGH
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,SQL,2,65,63,3,6.3,HIGH
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,React,80,83,3,4,1.0,LOW
8779be30-b846-4bb5-843e-415aa471fb52,Farm Manager,FastAPI,68,86,18,5,3.0,LOW
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,Soil Health,93,76,-17,5,0.0,ACHIEVED
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,Crop Science,91,86,-5,3,0.0,ACHIEVED
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,Irrigation Systems,34,90,56,3,5.6,MEDIUM
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,Pest Control,69,82,13,5,2.2,LOW
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,Data Analysis,18,74,56,5,9.3,HIGH
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,Precision Agriculture,2,87,85,1,2.8,LOW
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,IoT Sensors,80,86,6,2,1.0,LOW
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,Farm Management,74,68,-6,5,0.0,ACHIEVED
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,Python,3,70,67,1,2.2,LOW
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,Machine Learning,45,64,19,1,1.0,LOW
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,SQL,58,74,16,5,2.7,LOW
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,React,64,68,4,1,1.0,LOW
c5780849-614d-4224-81f8-fdf76c4d15d2,Data Scientist,FastAPI,96,86,-10,5,0.0,ACHIEVED
